Tweet,Sentiment
"""You can drink as much Coke as you like, as long as you exercise"". A message implanted in Chinese public policy by https://t.co/N9d43lPMCk",neutral
"Coca Cola, Cocain, Single/Married Moms all the best https://t.co/Fp4JUckInQ",positive
watch https://t.co/GA5ShHlxca #Health #News &gt;&gt; A life sciences institute funded by Coca-Cola and other multinationa https://t.co/5sACKWflLQ,neutral
Study: Coca-Cola Shaped China's Efforts To Fight Obesity | WRVO Public Media https://t.co/IPSheOsHCj,neutral
mysterious coca cola flavour man spotted in guam,neutral
People shouldnt have to die because of a lack of infrastructure that could make access to healthcare easier. Thank https://t.co/yjjHJuZTtj,negative
Preventing pollution is paramount to the preservation of life below water and on land!   Thank you https://t.co/KBE295egJU,positive
@wkamaubell OK but I'm pretty sure this is how I would've imagined a US Presidential feast growing up in the India https://t.co/MpC9dmfksi,negative
"@khazzc Hey there! Yes, there is Coca-Cola inside the can. ",neutral
"@yakpuu @AimbotAimy Coca-Cola just turned a bad @pepsi commercial, and made it good.",negative
Coca-Cola Amatil joins the plastic straw ban https://t.co/hywoTZ8LXI https://t.co/Rl05L4xF4N,neutral
"Track Name   ""When the Stars Fell (Live)""
Artist ""Jay Rodriguez""
Album ""Your Sound (Live at Dizzy's Club Coca-Cola) https://t.co/GHHnKYYXqF",neutral
"Kirkland Sunsweet Dried Plums, Coca Cola of Mexico with Pure Cane Sugar in Glass Bottles, Kirkland Glucosamine 1500 https://t.co/0qZ2qxaSzZ",neutral
@sigourneybeaver Yep. Smart companies have always done it. Like coca cola using black celebrities in the 50s,positive
"A @DroghedaChamber Event 

Breakfast Briefing

'Brexit - Where are we now?
by @GrantThornton IRL

Thur, 31st Jan 20 https://t.co/7PNYuxdRyJ",neutral
"At this rate, Super Bowl champions bout to get fed Ramen and dollar store brand Coca Cola https://t.co/1DZFoyaoNT",neutral
@RedDevilPJ @Scar_BW @Ronnie_Showa the argument is maximise your chances of being heard.I am not saying it works i https://t.co/zmmW8nwe6l,negative
"Grab your ice cold Coca-Cola as you catch cool music,fun and entertainment on the #ElgonLunchHour with Ambroz Ney. https://t.co/ThicHQfmZZ",positive
Volkswagen Coca Cola 3 Piece Gift Set 1/72 Diecast Car Models by Motorcity Classics https://t.co/YUV7S5lpzr via @fancy,neutral
Coca Cola really had people addicted to crack in the 1880s lmfao,negative
Coca-Cola &amp; Marijuana Infused Drinks?! https://t.co/F4vOA6fCXs https://t.co/Sl3Pm7JZWc,neutral
Preventing pollution is paramount to the preservation of life below water and on land!   Thank you https://t.co/lVVEciTUim,positive
This actually makes a lot of sense if you consider two things: 1. SpongeBob has always been a critique of capitalis https://t.co/0zNy3NB76e,neutral
"Food &amp; Drink design which is as effective as its striking
Serendipity2 the multiple award winning food and drink https://t.co/COPOSl2Z9O",positive
What is taste of @ciroc without @schweppesmix  the plug  thanks to Coca-Cola Peninsula Beverages  for the right https://t.co/sisn4ZsW0q,neutral
"Where Warhol claimed it was impossible to get coca-cola better than 'the bum on the corner', Trump demonstrates tha https://t.co/Ry1nn8j6VC",neutral
@NBCNewsBETTER I live on coca cola. I drink about 6 cans or more daily. I also drink usually 2 pots(not cups) coffe https://t.co/NSPlz5lmDn,neutral
Coca Cola Amatil : Grinders Coffee join the Tour Down Under   https://t.co/P2iIHAuBAd,neutral
Coca-Cola FEMSA $KOF Lifted to Hold at Zacks Investment Research  https://t.co/LwF2oUNUNq,neutral
@whaeavee I love softball! My sister @HonneeFam and I spent many days at Coca-Cola bottlers park in Akld. Good time https://t.co/gwNIBT2Q07,positive
"@_ni__ke_ @chocojaybeats @JoeyAkan Urrrm. If Indomie is considered harmful or a problem, yes, they'll have to withd https://t.co/sSDaIEJMFV",neutral
1) why am i just now seeing this 2) who let me drunk tweet Coca Cola https://t.co/TjTSOEFdiR,neutral
Collectors Coca-Cola flat nose semi truck new in package $15 free shipping in the US $15,neutral
Collector Coca-Cola flat nose semi truck still in package awesome new $15 free shipping in the US $15,positive
"@piersmorgan Gillete have targeted men unfairly.

Take a look at this Coca Cola advert. Imagine it was 5 Men in the https://t.co/veQIhxmmYO",neutral
"January 15, 1889

The Coca-Cola Company,
aka Pemberton Medicine Company, is incorporated in Atlanta. https://t.co/TkjLkLfvb9",neutral
@Mike_Matei Always coca cola,neutral
"LOSS CONTROL OFFICER Jobs at Coca-Cola Kwanza Limited (CCK Ltd) January,2019 https://t.co/gewoZEM2VB",neutral
Nando's Meal Suggestion: Try a Sweet Potato &amp; Butternut Wrap (Medium) with Sweet Potato Wedges with PERi-PERi salt https://t.co/BzOzG1j4s8,positive
@Gillette @ProcterGamble Do you recall Coca Cola's New COKE debacle? That's about to happen to you. You're basicall https://t.co/sdIXCDM5We,neutral
Preventing pollution is paramount to the preservation of life below water and on land!   Thank you https://t.co/wE0kJ4WdEI,positive
@BaldBryan The one saving grace about all those food choices...all Coca Cola!,positive
Preventing pollution is paramount to the preservation of life below water and on land!   Thank you https://t.co/xmBPl7FQvE,positive
People shouldnt have to die because of a lack of infrastructure that could make access to healthcare easier. Thank https://t.co/zVsXk6SoJ0,negative
